id,osm_id,amenity,name,POINT_X,POINT_Y
1,6074242059,dentist,Vermeulen Dentist,18.8781714,-33.9263064
2,6643224880,dentist,,18.8603384,-33.9339294
3,4635208954,doctors,Dr Wentley,18.8788399,-33.9232772
4,6074242053,doctors,Medical Doctor,18.8777878,-33.9264132
5,6643224879,doctors,Adringa Medical Centre,18.8604895,-33.9329090
6,6643224883,doctors,,18.8613999,-33.9388427
7,6643224884,doctors,,18.8597094,-33.9397494
8,251670890,doctors,Campus Health Service,18.8694883,-33.9355971
9,429065382,doctors,Medical & Dental Centre,18.8401726,-33.9672404
10,742226590,doctors,Bobs Way Surgery,18.7207449,-34.0109130
